name,category,subcategory,brand,description,image_url,tags,status
"Spot inkaso LED LIGHTPRO fuqia 48 W, 220 – 240 V, 6500 K, 4320 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310834/nearbuy/products/spot_inkaso_led_lightpro_fuqia_48_w__220___24_74.jpg,elektrik,active
Prozhektor LED me sensor PIR 50W 6000K 4500Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310842/nearbuy/products/prozhektor_led_me_sensor_pir_50w_6000k_4500lm_75.jpg,elektrik,active
Ndricues mural ovale me sensor 3CCT 200mm 15W 4000K 1350Lm,Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310849/nearbuy/products/ndricues_mural_ovale_me_sensor_3cct_200mm_15w_76.png,elektrik,active
"Spot inkaso LED ED-SON fuqia 40 W, 220 V, 6500 K, 3200 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310854/nearbuy/products/spot_inkaso_led_ed_son_fuqia_40_w__220_v__650_77.png,elektrik,active
Baladeze bosh per 50m kabull me 4 priza dhe mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310862/nearbuy/products/baladeze_bosh_per_50m_kabull_me_4_priza_dhe_m_78.png,elektrik,active
Prozhektor LED 10W 900LM me sensor,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310868/nearbuy/products/prozhektor_led_10w_900lm_me_sensor_79.jpg,elektrik,active
Sahat elektronik,Elektrik,Aksesorë Elektrik,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310874/nearbuy/products/sahat_elektronik_80.png,elektrik,active
"Pllafon LED ED-SON fuqia 24 W, 220 V, 6500 K, 1800 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310880/nearbuy/products/pllafon_led_ed_son_fuqia_24_w__220_v__6500_k__81.png,elektrik,active
"Ndricues jashte muri me sensor 18W , 6500K",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310886/nearbuy/products/ndricues_jashte_muri_me_sensor_18w___6500k_82.png,elektrik,active
"Ndricues magazine 72W, 6500K, 120 c",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310892/nearbuy/products/ndricues_magazine_72w__6500k__120_c_83.png,elektrik,active
"Ndricues rrethor jashte muri Alumin 24W, 6500K",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310898/nearbuy/products/ndricues_rrethor_jashte_muri_alumin_24w__6500_84.png,elektrik,active
"Zgjatues 5m me 2+2 priza dhe celes 3.1.5mm I gomuar, I zi, me kapak me suste,IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310905/nearbuy/products/zgjatues_5m_me_2_2_priza_dhe_celes_3_1_5mm_i__85.png,elektrik,active
"Ndricues rrethor inkaso kase plastike 30W, 6500K – UDR3065",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310911/nearbuy/products/ndricues_rrethor_inkaso_kase_plastike_30w__65_86.jpg,elektrik,active
"Zgjatues kabelli me Celes e Zeze me 6 priza 5m kabell 3×1.5mm, me mbrojte femijesh",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310917/nearbuy/products/zgjatues_kabelli_me_celes_e_zeze_me_6_priza_5_87.jpg,elektrik,active
"Transformator Led, 12 V,21A,250W",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310924/nearbuy/products/transformator_led__12_v_21a_250w_88.png,elektrik,active
"Prozhekor LED SMD me sensor, 30 W",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310929/nearbuy/products/prozhekor_led_smd_me_sensor__30_w_89.png,elektrik,active
Baladeze portabel 10m 3×1.5mm,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310935/nearbuy/products/baladeze_portabel_10m_3_1_5mm_90.png,elektrik,active
Prozhektor led 70W 6000K 6300Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310943/nearbuy/products/prozhektor_led_70w_6000k_6300lm_91.jpg,elektrik,active
"Baladez me 4 priza bosh per 50m kabell, plastik",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310949/nearbuy/products/baladez_me_4_priza_bosh_per_50m_kabell__plast_92.png,elektrik,active
